InstanceID,n,m,Algorithm,Cmax,ReferenceCmax,AbsoluteError,RelativeError(%),Time(ms)
1,20,5,NEH,1286,1278,8,0.625978,2.997
1,20,5,FNEH,1286,1278,8,0.625978,0.58
2,20,5,NEH,1365,1359,6,0.441501,2.709
2,20,5,FNEH,1365,1359,6,0.441501,0.504
3,20,5,NEH,1159,1081,78,7.21554,2.58
3,20,5,FNEH,1159,1081,78,7.21554,0.484
4,20,5,NEH,1325,1293,32,2.47486,2.534
4,20,5,FNEH,1325,1293,32,2.47486,0.478
5,20,5,NEH,1305,1235,70,5.66802,2.422
5,20,5,FNEH,1305,1235,70,5.66802,0.461
6,20,5,NEH,1228,1195,33,2.76151,2.379
6,20,5,FNEH,1228,1195,33,2.76151,0.453
7,20,5,NEH,1278,1239,39,3.1477,2.272
7,20,5,FNEH,1278,1239,39,3.1477,0.419
8,20,5,NEH,1223,1206,17,1.40962,2.275
8,20,5,FNEH,1223,1206,17,1.40962,0.433
9,20,5,NEH,1291,1230,61,4.95935,2.167
9,20,5,FNEH,1291,1230,61,4.95935,0.409
10,20,5,NEH,1151,1108,43,3.88087,2.184
10,20,5,FNEH,1151,1108,43,3.88087,0.418
11,20,10,NEH,1680,1582,98,6.19469,2.564
11,20,10,FNEH,1680,1582,98,6.19469,0.567
12,20,10,NEH,1729,1659,70,4.21941,2.503
12,20,10,FNEH,1729,1659,70,4.21941,0.547
13,20,10,NEH,1557,1496,61,4.07754,2.449
13,20,10,FNEH,1557,1496,61,4.07754,0.551
14,20,10,NEH,1439,1377,62,4.50254,2.408
14,20,10,FNEH,1439,1377,62,4.50254,0.521
15,20,10,NEH,1502,1419,83,5.84919,2.379
15,20,10,FNEH,1502,1419,83,5.84919,0.514
16,20,10,NEH,1453,1397,56,4.00859,2.331
16,20,10,FNEH,1453,1397,56,4.00859,0.527
17,20,10,NEH,1562,1484,78,5.25606,2.319
17,20,10,FNEH,1562,1484,78,5.25606,0.506
18,20,10,NEH,1609,1538,71,4.61638,2.271
18,20,10,FNEH,1609,1538,71,4.61638,0.515
19,20,10,NEH,1647,1593,54,3.38983,2.285
19,20,10,FNEH,1647,1593,54,3.38983,0.511
20,20,10,NEH,1653,1591,62,3.89692,2.211
20,20,10,FNEH,1653,1591,62,3.89692,0.497
21,20,20,NEH,2410,2297,113,4.91946,2.831
21,20,20,FNEH,2410,2297,113,4.91946,0.741
22,20,20,NEH,2150,2099,51,2.42973,2.839
22,20,20,FNEH,2150,2099,51,2.42973,0.746
23,20,20,NEH,2411,2326,85,3.65434,2.851
23,20,20,FNEH,2411,2326,85,3.65434,0.742
24,20,20,NEH,2262,2223,39,1.75439,2.756
24,20,20,FNEH,2262,2223,39,1.75439,0.71
25,20,20,NEH,2397,2291,106,4.6268,2.813
25,20,20,FNEH,2397,2291,106,4.6268,0.729
26,20,20,NEH,2349,2226,123,5.52561,2.791
26,20,20,FNEH,2349,2226,123,5.52561,0.736
27,20,20,NEH,2362,2273,89,3.91553,2.76
27,20,20,FNEH,2362,2273,89,3.91553,0.719
28,20,20,NEH,2249,2200,49,2.22727,2.844
28,20,20,FNEH,2249,2200,49,2.22727,0.764
29,20,20,NEH,2320,2237,83,3.71033,2.864
29,20,20,FNEH,2320,2237,83,3.71033,0.749
30,20,20,NEH,2277,2178,99,4.54545,2.848
30,20,20,FNEH,2277,2178,99,4.54545,0.766
31,50,5,NEH,2733,2724,9,0.330396,24.715
31,50,5,FNEH,2733,2724,9,0.330396,3.325
32,50,5,NEH,2843,2836,7,0.246827,23.961
32,50,5,FNEH,2843,2836,7,0.246827,3.303
33,50,5,NEH,2640,2621,19,0.724914,24.793
33,50,5,FNEH,2640,2621,19,0.724914,3.303
34,50,5,NEH,2782,2751,31,1.12686,24.086
34,50,5,FNEH,2782,2751,31,1.12686,3.38
35,50,5,NEH,2868,2863,5,0.174642,24.855
35,50,5,FNEH,2868,2863,5,0.174642,3.474
36,50,5,NEH,2850,2829,21,0.742312,24.864
36,50,5,FNEH,2850,2829,21,0.742312,3.343
37,50,5,NEH,2758,2725,33,1.21101,24.813
37,50,5,FNEH,2758,2725,33,1.21101,3.381
38,50,5,NEH,2721,2683,38,1.41632,24.364
38,50,5,FNEH,2721,2683,38,1.41632,3.3
39,50,5,NEH,2576,2554,22,0.861394,23.784
39,50,5,FNEH,2576,2554,22,0.861394,3.248
40,50,5,NEH,2790,2782,8,0.287563,23.644
40,50,5,FNEH,2790,2782,8,0.287563,3.17
41,50,10,NEH,3135,3037,98,3.22687,28.795
41,50,10,FNEH,3135,3037,98,3.22687,4.85
42,50,10,NEH,3032,2911,121,4.15665,30.588
42,50,10,FNEH,3032,2911,121,4.15665,5.079
43,50,10,NEH,2986,2871,115,4.00557,30.359
43,50,10,FNEH,2986,2871,115,4.00557,6.941
44,50,10,NEH,3198,3067,131,4.27127,31.2
44,50,10,FNEH,3198,3067,131,4.27127,5.125
45,50,10,NEH,3160,3011,149,4.94852,30.98
45,50,10,FNEH,3160,3011,149,4.94852,5.235
46,50,10,NEH,3178,3021,157,5.19695,31.459
46,50,10,FNEH,3178,3021,157,5.19695,5.202
47,50,10,NEH,3277,3124,153,4.89757,31.183
47,50,10,FNEH,3277,3124,153,4.89757,5.288
48,50,10,NEH,3123,3048,75,2.46063,31.933
48,50,10,FNEH,3123,3048,75,2.46063,5.303
49,50,10,NEH,3002,2910,92,3.16151,31.793
49,50,10,FNEH,3002,2910,92,3.16151,5.229
50,50,10,NEH,3257,3100,157,5.06452,31.393
50,50,10,FNEH,3257,3100,157,5.06452,5.181
51,50,20,NEH,4082,3886,196,5.04375,41.677
51,50,20,FNEH,4082,3886,196,5.04375,8.474
52,50,20,NEH,3921,3733,188,5.03616,41.492
52,50,20,FNEH,3921,3733,188,5.03616,8.611
53,50,20,NEH,3927,3673,254,6.91533,43.224
53,50,20,FNEH,3927,3673,254,6.91533,8.655
54,50,20,NEH,3969,3755,214,5.69907,41.663
54,50,20,FNEH,3969,3755,214,5.69907,8.208
55,50,20,NEH,3835,3648,187,5.1261,39.011
55,50,20,FNEH,3835,3648,187,5.1261,8.268
56,50,20,NEH,3914,3719,195,5.24334,38.947
56,50,20,FNEH,3914,3719,195,5.24334,8.477
57,50,20,NEH,3952,3730,222,5.95174,40.993
57,50,20,FNEH,3952,3730,222,5.95174,8.53
58,50,20,NEH,3938,3737,201,5.37865,40.927
58,50,20,FNEH,3938,3737,201,5.37865,8.482
59,50,20,NEH,3952,3772,180,4.772,39.349
59,50,20,FNEH,3952,3772,180,4.772,8.189
60,50,20,NEH,4079,3791,288,7.59694,39.464
60,50,20,FNEH,4079,3791,288,7.59694,8.305
61,100,5,NEH,5519,5493,26,0.47333,186.822
61,100,5,FNEH,5519,5493,26,0.47333,22.35
62,100,5,NEH,5348,5274,74,1.40311,177.415
62,100,5,FNEH,5348,5274,74,1.40311,21.798
63,100,5,NEH,5219,5175,44,0.850242,180.211
63,100,5,FNEH,5219,5175,44,0.850242,21.566
64,100,5,NEH,5023,5018,5,0.0996413,181.985
64,100,5,FNEH,5023,5018,5,0.0996413,21.813
65,100,5,NEH,5266,5250,16,0.304762,178.823
65,100,5,FNEH,5266,5250,16,0.304762,22.544
